variant,tokenizer,model,remove_velocity,hard_quantization,genre_a,genre_b,pair,repeat,fmd,nfmd_trace,nfmd_norm,trace_cov1,trace_cov2,mean_norm1,mean_norm2,full_fmd,full_nfmd_trace,full_nfmd_norm
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,0,6.341791321873721,0.1915022668420453,0.0021949999443141364,17.480339429816603,15.635672335749339,26.85993766784668,26.89133071899414,6.019805933731053,0.17681081576434426,0.002084940458713163
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,1,6.561027575481454,0.19199403730901293,0.0022725868579646013,18.27236968358173,15.900710207027217,26.844100952148438,26.886993408203125,6.019805933731053,0.17681081576434426,0.002084940458713163
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,2,6.809514198564827,0.19685031791935984,0.0023592708373860725,18.59563621866566,15.996709227046848,26.838909149169922,26.88519287109375,6.019805933731053,0.17681081576434426,0.002084940458713163
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,3,6.486386216992891,0.19122953611817253,0.002246161898841978,17.727742023218198,16.19163229866768,26.855335235595703,26.882587432861328,6.019805933731053,0.17681081576434426,0.002084940458713163
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,4,6.748803783853781,0.193094038206653,0.0023387409984346086,19.031043968429103,15.9198216643621,26.830768585205078,26.887540817260742,6.019805933731053,0.17681081576434426,0.002084940458713163
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,5,6.816067550452907,0.19175797451603507,0.0023630770661861767,19.00603579773327,16.53912245529645,26.830780029296875,26.87586212158203,6.019805933731053,0.17681081576434426,0.002084940458713163
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,6,6.970117082857318,0.20295161513801593,0.0024144561316878804,18.73206246740277,15.611675463026288,26.8361873626709,26.89301300048828,6.019805933731053,0.17681081576434426,0.002084940458713163
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,7,6.595719453975356,0.19158345693058987,0.0022848365736020805,18.572148147564143,15.855247409688827,26.84005355834961,26.88829803466797,6.019805933731053,0.17681081576434426,0.002084940458713163
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,8,6.662099094551049,0.19703365918631024,0.002306933123104111,17.728489418506143,16.083495407150117,26.85465431213379,26.8841552734375,6.019805933731053,0.17681081576434426,0.002084940458713163
tok=REMI|model=MusicBERT|vel=on|quant=off,REMI,MusicBERT,False,False,rock,jazz,rock_vs_jazz,9,6.837282816048464,0.19779837634064365,0.0023688451506187775,18.63281449460165,15.934116450642609,26.838045120239258,26.886585235595703,6.019805933731053,0.17681081576434426,0.002084940458713163
